metric,group1,group2,H_kruskal,p_kruskal,p_raw,p_FDR,rank_biserial_r,significant_FDR05
lambda1,CN,AD,16.636,0.000244,0.0003,0.00089,-0.131,True
lambda1,CN,FTD,16.636,0.000244,0.86538,0.86538,0.007,False
lambda1,AD,FTD,16.636,0.000244,0.00081,0.00122,0.142,True
lambda1_norm,CN,AD,16.636,0.000244,0.0003,0.00089,-0.131,True
lambda1_norm,CN,FTD,16.636,0.000244,0.86538,0.86538,0.007,False
lambda1_norm,AD,FTD,16.636,0.000244,0.00081,0.00122,0.142,True
S2_peak,CN,AD,13.893,0.000962,0.0003,0.00091,0.131,True
S2_peak,CN,FTD,13.893,0.000962,0.58235,0.58235,0.023,False
S2_peak,AD,FTD,13.893,0.000962,0.0124,0.01859,-0.106,True
chi_peak,CN,AD,13.893,0.000962,0.0003,0.00091,0.131,True
chi_peak,CN,FTD,13.893,0.000962,0.58235,0.58235,0.023,False
chi_peak,AD,FTD,13.893,0.000962,0.0124,0.01859,-0.106,True
critical_threshold,CN,AD,1.805,0.405624,0.21907,0.47911,0.044,False
critical_threshold,CN,FTD,1.805,0.405624,0.3194,0.47911,0.041,False
critical_threshold,AD,FTD,1.805,0.405624,0.97199,0.97199,0.001,False
